file,status,column,dtype,n_rows,n_null,null_frac,n_numeric,min,max,mean,std,n_unique
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-imu-temperature.csv,OK,%time,int64,1323,0,0.0,1323,1.5319438108831823e+18,1.5319439431285417e+18,1.5319438770078781e+18,38246514741.661385,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-imu-temperature.csv,OK,field.header.seq,int64,1323,0,0.0,1323,2310.0,3632.0,2971.0,382.0615133718653,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-imu-temperature.csv,OK,field.header.stamp,int64,1323,0,0.0,1323,1.5319438108828268e+18,1.5319439431269809e+18,1.5319438770069658e+18,38246487002.184425,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-imu-temperature.csv,OK,field.header.frame_id,str,1323,0,0.0,0,,,,,1.0
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-imu-temperature.csv,OK,field.temperature,float64,1323,0,0.0,1323,53.09,60.04,55.75783824640967,1.977768539134666,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-imu-temperature.csv,OK,field.variance,float64,1323,0,0.0,1323,0.0,0.0,0.0,0.0,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,%time,int64,544,0,0.0,544,1.531943810887695e+18,1.5319439429850166e+18,1.5319438770409439e+18,38275231849.0367,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.header.seq,int64,544,0,0.0,544,998.0,1541.0,1269.5,157.1835445161696,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.header.stamp,int64,544,0,0.0,544,1.5319438108869238e+18,1.5319439429837258e+18,1.5319438770395617e+18,38275063319.880936,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.header.frame_id,str,544,0,0.0,0,,,,,1.0
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.child_frame_id,str,544,0,0.0,0,,,,,1.0
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.pose.pose.position.x,float64,544,0,0.0,544,-221.467880249,191.99937439,-0.0034692609639083616,137.7121806728706,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.pose.pose.position.y,float64,544,0,0.0,544,-58.3289413452,202.675262451,78.37709635853044,104.27039316043191,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.pose.pose.position.z,float64,544,0,0.0,544,28.3298625946,57.1470947266,48.48677318587059,4.3377027136878565,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.pose.pose.orientation.x,float64,544,0,0.0,544,-0.377779402925,0.430355280624,-0.03061765866141356,0.12172961766878361,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.pose.pose.orientation.y,float64,544,0,0.0,544,-0.353422174508,0.416341107835,-0.027796669661190716,0.11818697906836874,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.pose.pose.orientation.z,float64,544,0,0.0,544,-0.999676047492,0.700998442084,-0.5367747885448902,0.4470339231690522,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.pose.pose.orientation.w,float64,544,0,0.0,544,-0.999949664092,0.705449934125,-0.39011888772488457,0.574779925436639,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.pose.covariance0,float64,544,0,0.0,544,1e-06,1e-06,1e-06,0.0,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.pose.covariance1,float64,544,0,0.0,544,0.0,0.0,0.0,0.0,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.pose.covariance2,float64,544,0,0.0,544,0.0,0.0,0.0,0.0,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.pose.covariance3,float64,544,0,0.0,544,0.0,0.0,0.0,0.0,
carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,OK,field.pose.covariance4,float64,544,0,0.0,544,0.0,0.0,0.0,0.0,
